,gene,gene_length(kb),0h_no_dox_1,0h_no_dox_11,0h_no_dox_12,0h_no_dox_2,12h_is_dox_5,12h_is_dox_6,12h_no_dox_3,12h_no_dox_4,24h_is_dox_10,24h_is_dox_13,24h_is_dox_14,24h_is_dox_17,24h_is_dox_18,24h_is_dox_19,24h_is_dox_20,24h_is_dox_9,24h_no_dox_15,24h_no_dox_16,24h_no_dox_7,24h_no_dox_8
9499,Ctps1,3.089,3241,3650,3260,3955,8905,3868,8687,4208,1836,3092,2863,3672,4042,3174,2473,7474,3939,3596,6812,2649
9500,Gm8439,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9501,Gm29891,1.529,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
9502,Cited4,1.258,1,4,1,3,1,2,5,3,1,0,0,1,1,1,0,3,3,3,4,4
9503,Kcnq4,4.841,18,13,10,18,7,8,34,6,4,2,7,3,6,3,2,14,11,9,24,7
9504,Nfyc,3.144,1117,1749,1235,1380,2688,1422,3323,1384,792,1717,1385,1242,1578,1531,1355,3148,1483,1368,2893,1101
9505,Mir30c-1,0.089,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,2,0,2,0
9506,Mir30e,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9507,Mir30f,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9508,Rims3,6.546,657,584,394,1005,1219,719,1696,907,268,141,212,205,363,290,300,627,635,522,1166,545
9509,Gm12871,0.647,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,1
9510,Gm24678,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9511,Exo5,1.99,510,417,356,613,1220,648,1686,714,436,633,455,549,604,513,465,1914,616,545,1794,598
9512,Zfp69,4.807,95,99,75,113,225,126,269,115,70,106,130,134,133,153,122,289,118,113,234,99
9513,Smap2,3.5,578,517,563,604,1204,726,1575,735,356,547,626,578,630,600,619,1034,948,713,1437,675
9514,Mir7015,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9515,Col9a2,2.746,161,141,104,157,239,179,380,131,197,218,210,134,312,113,325,608,143,115,202,101
9516,Zmpste24,3.5,1100,1005,850,1375,3204,1501,3619,1675,732,853,881,1127,1200,814,747,3545,1196,1173,3467,1156
9517,Gm23540,0.164,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9518,Tmco2,0.71,108,71,55,105,259,132,367,166,88,121,73,83,94,64,57,385,109,136,477,151
9519,Gm12882,0.482,7,1,3,4,17,4,22,7,3,4,2,8,2,1,1,22,9,5,26,8
9520,Rlf,8.175,1193,869,1177,1240,2995,1356,4085,1752,864,1124,914,1145,1147,884,673,4005,1478,1347,3877,1236
9521,Gm30102,1.905,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0
9522,Gm40239,1.137,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,1,0,1,0
9523,Gm12888,1.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9524,Gm12886,1.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,Gm12880,0.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9526,Gm26162,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9527,Gm12887,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9528,Gm53178,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9529,Gm12897,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9530,Gm10573,0.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9531,Gm53186,1.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9532,Gm30405,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9533,Gm12874,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9534,9530002B09Rik,0.825,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
9535,Gm30548,1.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9536,Gm12873,0.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9537,Ppt1,2.634,857,784,874,1058,1800,959,2482,1157,547,693,601,727,780,686,695,2418,761,758,2120,811
9538,Cap1,2.787,5630,5776,5176,6842,12578,7411,15760,7319,3901,6571,5627,6229,7486,6956,5990,14488,6762,6121,13141,5552
9539,Mfsd2a,3.168,98,85,31,92,106,47,199,85,11,21,32,26,30,38,16,22,81,63,69,40
9540,Gm54255,0.88,1,0,1,0,3,0,6,1,0,0,1,0,1,0,0,3,2,1,1,1
9541,Mycl,4.042,1306,1379,1030,1326,1975,1140,4825,2421,480,660,757,609,764,564,725,1668,2746,2621,5385,2307
9542,Trit1,2.122,375,467,351,457,1247,520,1445,541,226,438,317,440,512,425,325,1267,562,584,1321,453
9543,Gm12923,1.022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9544,Gm46868,0.494,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9545,Bmp8b,3.8,16,19,19,19,29,15,27,9,7,6,10,6,11,6,15,10,20,18,21,6
9546,Gm17244,3.798,5,3,3,3,7,1,3,0,2,3,4,3,1,3,2,8,2,1,0,1
9547,Oxct2b,1.753,1,2,5,0,3,3,3,2,0,2,1,1,3,0,1,5,0,1,0,1
9548,Ppie,1.272,890,1408,952,1169,2656,1146,3219,1193,619,1221,906,1036,1345,903,927,3009,1292,1288,2666,903
9549,Hpcal4,4.652,30,17,41,28,198,131,63,24,37,46,84,92,99,77,66,133,29,21,27,10
9550,Nt5c1a,3.16,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,2,1
9551,Heyl,4.532,3,6,3,5,10,3,2,3,6,2,6,3,9,0,1,15,3,1,6,2
9552,Gm50623,0.364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9553,Gm12900,0.677,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9554,Pabpc4,7.233,5727,9592,7458,7040,10112,6743,12021,6938,3276,6911,6232,5699,7433,5555,6266,8212,6669,6570,8623,4410
9555,Gm25788,0.131,1,2,4,1,8,0,8,3,1,4,4,2,3,3,2,7,4,1,4,1
9556,Gm22154,0.131,1,2,6,2,7,2,10,3,3,0,1,3,5,2,2,3,4,4,6,0
9557,Bmp8a,2.405,8,5,10,11,22,16,19,12,2,1,15,4,4,7,11,20,10,12,23,6
9558,Oxct2a,1.805,0,1,2,2,3,2,1,0,0,0,2,0,0,0,1,1,0,0,3,1
9559,Macf1,39.705,7671,5424,6278,10038,15099,7195,18216,8423,3731,3598,4584,5062,4960,3073,2955,12307,5969,4758,13546,5504
9560,Gm12924,0.622,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9561,Gm31156,0.44,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0
9562,Mir6398,0.102,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
9563,Gm35241,7.704,1,1,3,0,6,2,11,1,0,0,2,2,2,0,0,3,15,5,4,1
9564,Gm12925,0.945,6,4,6,13,15,2,12,3,0,3,1,1,1,1,0,9,1,2,1,1
9565,Ndufs5,0.509,60,232,155,59,155,60,165,84,32,187,157,158,195,176,133,178,185,185,150,45
9566,Gm57730,0.141,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,4,1,0,1,0
9567,Akirin1,2.37,1033,1102,754,1062,2223,930,2900,1219,431,956,677,1005,978,687,590,2121,1093,969,2220,662
9568,Rhbdl2,2.89,12,14,21,6,10,3,15,3,0,2,4,3,2,1,4,0,0,2,3,1
9569,1700121C08Rik,1.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9570,4933427I04Rik,2.206,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0
9571,Gm31309,1.745,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9572,D130007C19Rik,8.938,11,6,2,12,26,12,28,10,25,17,4,4,3,8,9,129,4,6,41,10
9573,Mycbp,1.485,655,676,502,700,1718,716,1775,771,331,565,509,779,782,381,370,1750,674,667,1605,510
9574,Rragc,2.606,1744,1843,1368,2238,2537,1409,3479,2059,890,1338,826,1074,1156,1055,909,2834,1122,1226,2240,1007
9575,Gm40241,0.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9576,Gm40242,0.599,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
9577,Gm12916,1.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9578,1700021L23Rik,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9579,Gm52719,2.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9580,1700057H15Rik,0.98,1,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
9581,Gm31830,0.968,3,0,2,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
9582,Gm31769,3.838,3,10,22,11,3,1,13,7,0,0,0,1,1,1,0,1,6,0,13,1
9583,Gm2164,3.227,62,35,31,48,67,16,251,50,12,6,5,6,11,10,4,34,34,24,128,26
9584,4933407E24Rik,1.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9585,Pou3f1,3.01,3681,3541,2948,3744,1515,661,5311,2845,76,76,110,74,102,130,105,172,993,668,1605,740
9586,Gm38545,1.07,3,0,2,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,2,1
9587,Utp11,7.47,984,1271,906,1239,2851,1359,2975,1265,553,1012,761,1020,1292,819,739,2627,1117,1140,2480,871
9588,Fhl3,2.217,383,392,284,566,1931,1398,1200,635,279,460,926,734,958,894,1081,804,451,457,1041,469
9589,Sf3a3,2.189,3581,3882,3478,4352,9487,4636,11179,4596,2213,3445,3439,4121,4782,3473,3069,10577,4483,4084,9521,3215
9590,Mir697,0.109,2,0,3,3,13,3,16,1,1,5,15,2,7,5,4,6,6,4,19,1
9591,Gm12915,1.499,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
9592,Gm32117,2.675,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,0,0,0
9593,Inpp5b,4.519,605,555,469,684,1372,628,1850,746,339,546,457,562,623,520,440,1507,793,636,1449,451
9594,Mir698,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9595,Mtf1,7.631,385,366,400,473,901,473,1102,467,275,429,346,416,437,408,327,977,494,384,922,339
9596,Gm54256,3.078,1,8,4,2,27,4,34,5,2,6,4,11,4,6,4,29,9,6,22,5
9597,1110065P20Rik,0.878,93,149,84,159,233,166,243,205,82,137,80,36,84,70,103,297,62,64,269,116
9598,Yrdc,1.554,1017,1264,1072,1203,2212,890,2452,1286,351,626,729,833,966,646,672,1182,1092,1026,1738,681
9599,Maneal,3.437,169,153,65,267,421,357,423,302,174,179,133,172,208,221,203,427,136,138,424,247
9600,Epha10,10.562,18,14,28,16,43,34,45,13,3,4,15,10,12,14,17,53,11,7,40,15
9601,1700125G02Rik,0.519,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0
9602,Cdca8,1.626,3249,3674,3039,4073,6509,3966,8249,4207,2017,3368,2915,2669,3433,3064,2772,6353,3623,3099,6707,3023
9603,Airim,3.117,338,329,322,361,817,345,991,342,212,334,257,350,404,321,269,1022,490,436,834,284
9604,Gm12930,2.777,0,0,0,0,1,0,0,0,2,1,2,2,3,0,0,9,1,1,2,0
9605,Gm32371,4.313,1,0,1,2,0,0,5,2,0,1,0,0,1,0,1,3,2,0,4,1
9606,Rspo1,1.863,278,346,186,250,187,129,703,346,61,112,106,98,135,121,95,205,296,308,338,202
9607,Gm38472,0.547,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9608,Gnl2,5.459,2792,3119,2741,3569,7676,3022,8984,3609,1309,1923,2100,2345,2760,1856,1915,6696,3074,3031,7383,2276
9609,Dnali1,2.08,2,0,1,2,4,0,8,1,1,5,2,1,4,3,2,10,3,1,14,1
9610,Snip1,2.429,856,758,701,994,1653,912,2145,1073,516,761,582,840,893,692,560,2021,949,854,1907,740
9611,Meaf6,9.487,1068,1148,1090,1354,3190,1305,3694,1208,682,970,952,1164,1456,927,941,3407,1360,1283,3036,926
9612,Zc3h12a,2.805,47,48,58,44,81,48,119,71,37,50,78,44,68,103,63,88,75,52,119,76
9613,Gm40246,0.652,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9614,Gm32611,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9615,Gm40245,3.398,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9616,Gm40244,0.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9617,Gm46869,1.819,0,2,0,0,2,1,0,1,2,1,3,1,0,2,1,6,0,0,2,0
9618,Gm32696,0.386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9619,Gm40247,1.4,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
9620,Gm32756,8.651,3,6,4,8,2,1,7,1,0,0,0,0,2,1,0,3,1,3,2,0
9621,Grik3,10.549,2601,2174,1083,3505,2407,1842,8116,4403,959,1014,472,537,744,1025,490,2091,3380,3254,6127,3047
9622,Mir692-2,0.109,2368,5732,3908,3084,4558,2331,4954,2118,999,3761,1904,1382,3428,3146,3454,3451,2901,3031,2855,1433
9623,Gm32807,13.447,3,6,2,5,12,1,26,5,1,0,0,2,0,2,2,8,8,5,11,7
9624,Gm54257,4.925,0,3,0,2,0,0,2,1,0,0,0,0,0,1,0,3,4,0,3,1
9625,Gm40249,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9626,2610028E06Rik,3.636,3,0,0,1,8,3,7,0,5,6,6,8,9,2,1,32,0,0,4,1
9627,Gm32908,3.234,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9628,Csf3r,4.247,1,1,1,0,5,4,0,0,2,3,3,4,10,4,3,9,1,0,2,0
9629,Mrps15,0.938,729,1080,760,1037,2002,1046,2288,1134,461,886,709,662,850,637,777,2277,714,754,1966,734
9630,Oscp1,8.371,62,69,58,68,219,132,274,104,104,129,106,113,133,121,110,472,133,103,574,158
9631,Lsm10,1.064,195,270,187,283,502,279,692,274,158,269,169,216,296,245,187,697,258,218,517,204
9632,Stk40,4.221,1665,1766,1181,2268,4650,2688,4749,2355,1036,1828,1498,1390,2004,2095,1763,3439,1776,1730,3904,1730
9633,Eva1b,2.929,124,197,119,245,362,242,403,252,108,236,139,38,98,143,185,421,56,65,346,157
9634,Sh3d21,2.405,82,91,109,126,130,59,223,110,27,23,45,35,57,28,54,120,70,64,163,83
9635,Thrap3,5.669,6987,6843,6192,7900,15186,7612,19770,8189,3851,5922,5752,6339,7581,5552,5311,17006,8518,7417,17741,6261
9636,Gm25323,0.103,0,0,0,0,1,1,5,0,0,0,0,1,1,0,0,3,2,0,2,0
9637,Map7d1,3.387,2245,2440,1132,2766,4134,3022,6314,3480,1743,3360,2220,1552,2382,3047,2262,5003,1976,1946,5398,2628
9638,Trappc3,1.256,542,467,315,609,1371,636,1791,694,457,569,345,424,570,390,419,1871,535,521,1609,558
9639,Gm54258,0.785,8,0,0,3,14,4,22,2,3,5,2,4,8,6,4,19,7,2,23,8
9640,Col8a2,4.457,64,43,54,31,34,13,82,22,19,17,20,24,15,24,19,54,64,59,75,35
9641,Adprs,1.368,872,1043,691,964,1720,957,2522,1009,543,995,587,580,879,968,753,2173,854,841,2182,816
9642,Tekt2,1.743,20,26,38,30,46,12,49,15,4,8,8,15,12,20,13,17,31,15,41,18
9643,Ago3,16.963,415,307,397,511,1343,393,1516,576,302,335,300,399,458,253,178,1428,500,414,1373,392
9644,Ago1,7.442,3918,3143,2758,4932,6717,3876,11223,6149,1762,2486,2401,2726,3321,2945,2339,5230,4528,4132,9974,4661
9645,Ago4,9.61,18,27,15,16,114,61,108,57,59,68,83,88,101,63,81,351,50,45,223,68
9646,Clspn,5.87,2096,2100,2111,2654,5599,2840,6255,2844,1540,1957,2000,2697,2796,1967,1750,6041,2558,2345,5162,1912
9647,Mir7119,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9648,Gm12936,0.301,1,0,3,4,6,1,9,2,1,2,2,4,0,3,2,2,3,1,7,0
9649,5730409E04Rik,2.864,152,162,110,194,310,150,299,142,99,151,101,161,157,127,95,473,192,161,200,91
9650,Gm46870,0.647,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0
9651,Psmb2,0.818,3167,3705,2667,3787,8766,4390,9968,4214,2081,3458,2957,3121,4056,2883,2984,9056,3825,3680,8578,3115
9652,Tfap2e,2.117,5,7,23,2,21,5,6,6,2,2,15,7,8,5,4,6,2,5,9,1
9653,Ncdn,4.131,1342,1559,1281,1787,2386,1614,3179,1600,757,978,1244,740,1319,1236,1323,2021,1313,1207,2462,1190
9654,AU040320,5.49,305,302,210,448,848,646,1074,588,567,723,463,487,711,608,565,1695,460,410,1309,625
9655,Gm24161,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9656,Gm25604,0.133,6,8,8,1,14,9,14,0,2,7,4,3,9,2,6,9,5,9,15,4
9657,Zmym4,7.361,2930,2167,2365,3569,6126,3209,8505,4119,1945,1981,1932,2410,2592,2127,1750,8215,2884,2825,8062,2776
9658,Sfpq,13.555,15294,16397,13632,18643,43284,22375,44867,25417,10803,15692,14133,19403,22251,13803,13449,49568,19950,19645,44729,15462
9659,Zmym1,4.068,469,324,422,466,1095,399,1281,503,177,242,234,272,304,281,219,976,414,360,993,311
9660,Zmym6,5.284,555,316,491,648,1988,713,2378,773,542,423,349,425,549,450,453,4092,450,452,2790,641
9661,Gm25600,0.106,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,8,1,0,3,0
9662,Tmem35b,1.139,28,28,15,48,112,60,140,45,37,34,15,22,29,36,27,279,23,31,197,41
9663,Dlgap3,5.789,174,406,243,154,172,135,327,199,109,86,107,52,122,154,176,207,198,147,263,135
9664,Gm52707,8.276,4,1,4,3,6,0,8,0,1,1,2,4,4,3,1,4,3,2,3,0
9665,Smim12,1.022,385,549,306,543,972,687,1276,618,362,620,346,378,620,555,471,1408,500,600,1195,544
9666,Gm22221,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9667,Gja4,1.686,7,7,2,6,19,10,23,15,6,6,6,3,7,14,6,14,9,7,20,16
9668,Gjb3,1.937,42,34,43,80,97,52,165,81,24,13,33,18,20,13,51,62,68,66,110,54
9669,Gm40251,1.609,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,1,1,0,4,0
9670,Gjb4,4.086,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,1,0,1,2
9671,Gjb5,1.706,12,12,32,12,12,11,14,7,7,13,11,15,17,13,8,23,23,8,23,5
9672,Gm12947,0.761,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9673,Gm40252,0.573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9674,1700080G11Rik,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
9675,LOC115486416,2.803,1,0,0,0,0,1,7,3,0,0,0,0,0,0,0,1,2,4,49,11
9676,Gm40255,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9677,Gm40256,0.867,2,2,9,2,3,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0
9678,CK137956,3.734,1,5,11,11,7,3,3,0,1,1,1,0,6,3,2,2,1,2,4,0
9679,Gm38571,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9680,Csmd2,18.638,66,50,74,97,215,123,214,82,139,190,83,76,117,95,100,455,45,55,127,50
9681,Hmgb4,0.684,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
9682,Hmgb4os,0.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9683,Gm33656,0.556,0,0,1,2,2,1,3,1,0,1,0,0,1,0,3,5,2,0,2,1
9684,Zscan20,12.077,323,263,258,377,687,384,887,410,298,332,256,327,365,285,237,939,369,314,843,319
9685,Tlr12,3.174,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9686,Gm12958,1.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9687,Phc2,5.82,833,822,454,863,7681,5363,3703,2021,2663,4054,2908,2681,4413,4472,3649,6608,2074,2058,5413,2584
9688,Gm33712,4.863,0,0,2,1,4,2,2,1,1,2,1,0,0,3,0,11,1,2,6,2
9689,A3galt2,3.39,1,1,0,0,6,2,3,0,2,4,1,3,8,5,6,22,2,0,9,0
9690,Zfp362,3.685,200,198,66,242,727,808,813,545,1225,1498,586,546,881,1121,823,2854,347,358,1411,810
9691,Gm52679,3.766,2,3,2,5,26,7,19,5,17,16,12,12,14,12,15,95,7,2,43,6
9692,Gm33814,2.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9693,Trim62,3.312,77,70,59,102,113,68,188,103,81,88,70,65,96,127,87,228,105,83,213,102
9694,Gm54259,7.763,1,3,4,3,13,2,17,8,2,1,3,7,4,15,2,27,6,2,25,3
9695,Gm33901,3.698,0,0,0,0,4,1,0,1,2,2,4,2,1,1,2,4,1,0,8,0
9696,Gm57685,0.146,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9697,Azin2,3.362,99,96,104,105,194,125,289,115,134,186,109,86,165,147,173,576,124,90,405,132
9698,Gm15904,0.419,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,2,1,0,3,0
9699,Ak2,3.339,3639,4646,3397,4157,8080,4182,10572,4279,1942,3233,2946,2837,3831,3373,2911,7828,4257,3920,8590,3387
9700,1700086P04Rik,1.002,10,20,20,29,56,20,58,23,13,11,14,5,14,13,12,63,22,13,59,14
9701,Rnf19b,2.728,792,1013,777,984,2136,991,1939,985,363,727,1031,859,973,661,1009,1374,842,805,1660,722
9702,Tmem54,1.17,344,530,501,495,681,269,814,296,24,37,124,104,122,144,139,128,192,179,215,90
9703,Hpca,2.677,75,96,113,81,128,59,177,56,14,20,36,31,51,36,50,78,103,95,181,94
9704,Fndc5,2.883,76,82,45,81,242,160,296,182,108,77,104,106,134,83,128,414,177,147,515,211
9705,S100pbp,5.068,2064,1611,1504,2503,4634,2215,6018,2761,1372,1616,1326,1765,2000,1563,1109,6079,2058,1861,5321,1781
9706,Yars1,2.549,2880,3331,2628,3828,6127,3638,6333,3388,1312,2473,2235,2882,3368,2643,2227,3860,3370,3142,4475,2180
9707,Nhsl3,5.696,1129,1121,1361,1455,1027,606,1934,992,203,307,389,264,335,575,499,577,879,744,1583,804
9708,Gm12976,2.351,2,3,0,0,2,0,1,1,0,2,0,0,1,0,0,0,0,2,2,0
9709,Sync,3.209,3,9,16,9,18,12,17,9,5,8,10,7,9,8,16,23,14,14,11,14
9710,Rbbp4,4.407,14001,13330,13159,14472,26923,14748,33163,15051,8562,12410,11164,14827,15676,10701,10397,32888,15063,14327,28521,10844
9711,Zbtb8os,3.996,735,959,813,903,1689,708,2339,969,407,630,453,568,701,403,473,1789,856,861,1867,638
9712,Zbtb8a,2.229,1064,1044,1174,1333,905,381,1864,700,127,170,218,214,302,209,203,471,640,532,764,265
9713,C330020E22Rik,5.263,47,45,29,82,42,11,107,34,0,0,1,0,6,4,1,2,27,17,33,3
9714,Zbtb8b,5.906,157,126,124,168,197,127,441,207,36,40,68,63,75,87,60,168,193,181,391,160
9715,Gm24621,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9716,Bsdc1,2.8,564,578,563,733,1473,691,2000,766,419,706,550,595,694,549,542,1822,890,752,1995,674
9717,Tssk3,1.602,3,3,2,3,3,1,7,8,0,0,0,0,3,1,1,0,5,1,4,3
9718,Fam229a,0.558,8,4,1,4,8,5,8,9,3,0,1,0,0,0,3,0,2,1,13,1
9719,Marcksl1,1.601,8208,10292,5891,10516,19588,13602,25373,12659,9192,14440,10468,7421,11318,12013,12022,31820,7873,7741,25573,11050
9720,Hdac1,2.048,4705,6372,5554,5472,10943,4816,15207,5804,2349,4332,4429,5214,5895,4904,4553,10866,7695,6873,12201,4227
9721,Lck,2.274,236,295,253,269,366,172,704,258,66,121,132,145,134,147,124,303,405,316,569,233
9722,Mir8119,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9723,Fam167b,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9724,Eif3i,1.109,4616,5904,4222,5641,11804,6077,14939,6152,3514,6436,4563,5151,6525,4892,4706,14812,6190,5537,12746,4606
9725,Tmem234,1.886,1021,1212,929,1303,2676,1366,3303,1394,715,1185,936,815,1099,1038,947,3031,1097,1012,2770,1013
9726,Dcdc2b,3.294,14,10,12,6,41,12,54,11,10,15,22,9,15,17,10,50,21,15,28,8
9727,Iqcc,3.302,315,320,275,455,914,475,1122,422,353,453,289,386,513,356,315,1592,396,385,1221,405
9728,Ccdc28b,2.23,187,237,104,223,467,269,770,308,199,325,142,169,276,201,211,754,299,244,757,270
9729,Gm34305,3.842,28,28,39,26,99,40,129,29,24,30,72,56,62,30,86,91,46,53,96,23
9730,Txlna,4.997,2929,2501,2794,3408,7296,3613,8212,3347,2061,2776,2875,2822,3707,3307,2860,8188,3141,2884,7562,2759
9731,Kpna6,5.809,2230,2380,2426,2834,5357,2622,6429,2960,1265,1871,1958,2144,2284,2087,1535,5257,2872,2607,5680,2147
9732,Tmem39b,7.729,426,453,447,573,1045,751,1436,724,334,447,487,360,509,569,531,1088,566,597,1417,645
9733,Mir7016,0.072,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
9734,Khdrbs1,14.951,6141,5974,4671,7354,13960,9096,18649,11711,4827,6809,5746,8183,8873,5745,5555,17541,10041,10459,20251,8152
9735,Ptp4a2,8.566,4506,4692,3765,5137,12219,5820,15339,6903,3605,5756,4163,5820,6267,4520,3827,17700,6226,6167,15779,5049
9736,1700108I11Rik,0.299,1,0,0,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0
9737,Gm23845,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9738,E330017L17Rik,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9739,Spocd1,3.2,2,4,3,0,3,0,7,1,3,0,0,1,1,2,1,12,2,3,2,2
9740,1700003M07Rik,2.315,15,15,76,9,16,9,29,8,5,3,23,16,21,31,25,20,31,16,23,9
